index,name,experience,interest-1,interest-2,interest-3,linkedIn,github,proficiency-1,proficiency-2
430,Cassius,20,data science,data science,blockchain,147,48,go,MEAN
431,Davis,16,internet of things,computer vision,big data,319,37,verilog,swift
432,Hamilton,18,blockchain,machine learning,ios development,546,1,octave,swift
433,Harve,1,natural language processing,frontend development,algorithms,643,18,java,MEAN
434,Israel,14,full stack web development,deep learning,deep learning,525,50,c,c++
435,Leander,12,hardware design,deep learning,software design,693,13,octave,matlab
436,Melville,7,algorithms,data science,full stack web development,41,13,MERN,python
437,Merle,7,machine learning,big data,game development,451,35,R,arduino
438,Murray,18,big data,natural language processing,big data,698,50,octave,swift
439,Pleasant,13,data science,backend development,full stack web development,87,8,c++,arduino
440,Sterling,16,deep learning,big data,data science,108,41,flutter,go
441,Steven,12,frontend development,ios development,competitive programming,356,28,octave,R
442,Axel,2,internet of things,blockchain,hardware design,268,33,octave,MERN
443,Boyd,1,android app development,hardware design,ios development,303,6,MERN,c++
444,Bryant,18,data science,full stack web development,algorithms,963,7,flutter,c++
445,Clement,4,deep learning,algorithms,blockchain,540,43,javascript,arduino
446,Erwin,19,android app development,machine learning,software design,856,34,go,octave
447,Ezekiel,19,data science,hardware design,competitive programming,307,2,swift,R
448,Foster,4,computer vision,machine learning,natural language processing,817,24,go,c
449,Frances,14,algorithms,competitive programming,competitive programming,142,41,MERN,swift
450,Geo,1,big data,internet of things,competitive programming,789,41,c++,verilog
451,Houston,18,competitive programming,full stack web development,android app development,983,40,flutter,matlab
452,Issac,11,frontend development,full stack web development,android app development,802,38,java,go
453,Jules,15,algorithms,data science,hardware design,761,31,swift,octave
454,Larkin,6,data structures,full stack web development,hardware design,596,23,octave,javascript
455,Mat,3,blockchain,frontend development,full stack web development,185,29,verilog,arduino
456,Morton,6,internet of things,machine learning,natural language processing,708,34,java,MERN
457,Orlando,15,game development,data science,natural language processing,100,32,java,MEAN
458,Pierce,6,internet of things,game development,internet of things,593,45,verilog,flutter
459,Prince,19,backend development,competitive programming,backend development,786,33,verilog,matlab
460,Rollie,5,blockchain,big data,full stack web development,178,49,go,java
461,Rollin,19,data structures,natural language processing,natural language processing,493,11,MEAN,MERN
462,Sim,10,android app development,backend development,full stack web development,16,23,java,c
463,Stuart,11,backend development,ios development,data science,64,29,go,c++
464,Wilburn,7,deep learning,natural language processing,natural language processing,75,43,MERN,verilog
465,Bennett,2,algorithms,competitive programming,hardware design,358,10,c++,flutter
466,Casper,20,android app development,deep learning,big data,660,46,verilog,octave
467,Christ,17,data structures,computer vision,big data,664,27,MERN,MEAN
468,Dell,2,internet of things,android app development,hardware design,481,22,javascript,flutter
469,Egbert,16,ios development,big data,data science,156,31,java,MERN
470,Elmo,2,android app development,backend development,data structures,503,18,python,java
471,Fay,8,ios development,ios development,hardware design,173,31,R,swift
472,Gabriel,16,software design,data science,hardware design,433,22,go,flutter
473,Hector,10,android app development,natural language processing,blockchain,543,2,MERN,MERN
474,Horatio,17,full stack web development,algorithms,blockchain,504,50,verilog,matlab
475,Lige,19,data science,hardware design,big data,282,28,octave,swift
476,Saul,14,algorithms,frontend development,android app development,694,33,c,matlab
477,Smith,4,data structures,algorithms,competitive programming,526,29,R,MERN
478,Squire,8,big data,game development,deep learning,714,35,R,java
479,Tobe,6,algorithms,data structures,android app development,258,17,flutter,arduino
480,Tommie,10,backend development,game development,frontend development,192,19,MEAN,R
481,Wyatt,1,blockchain,natural language processing,computer vision,817,44,MERN,MEAN
482,Alford,12,full stack web development,data structures,software design,84,32,arduino,python
483,Alma,19,deep learning,big data,software design,771,50,swift,octave
484,Alton,18,machine learning,backend development,natural language processing,510,20,matlab,go
485,Andres,19,computer vision,big data,algorithms,714,27,swift,javascript
486,Burl,19,full stack web development,data science,android app development,9,23,MEAN,flutter
487,Cicero,17,backend development,android app development,machine learning,985,23,c++,java
488,Dean,11,computer vision,computer vision,blockchain,999,15,python,python
489,Dorsey,14,software design,data structures,deep learning,159,41,MEAN,MERN
490,Enos,15,game development,android app development,hardware design,110,27,python,c
491,Howell,2,data science,blockchain,competitive programming,534,26,swift,java
492,Lou,4,hardware design,hardware design,android app development,151,43,octave,swift
493,Loyd,16,software design,deep learning,machine learning,535,42,MERN,python
494,Mahlon,10,ios development,full stack web development,hardware design,484,17,MEAN,swift
495,Nat,13,computer vision,machine learning,big data,273,26,octave,go
496,Omar,2,ios development,backend development,data science,209,45,java,c++
497,Oran,5,data science,internet of things,software design,899,40,R,swift
498,Parker,20,backend development,data science,full stack web development,812,1,c++,go
499,Raleigh,6,data science,data science,full stack web development,165,35,verilog,arduino
500,Reginald,11,competitive programming,android app development,blockchain,202,39,arduino,c
501,Stella,13,backend development,competitive programming,computer vision,318,6,arduino,java
502,Sallie,20,software design,hardware design,internet of things,293,30,R,flutter
503,Nettie,15,natural language processing,data science,blockchain,113,30,verilog,flutter
504,Etta,20,internet of things,ios development,algorithms,119,45,c,c++
505,Harriet,17,backend development,internet of things,data science,848,48,octave,MERN
506,Sadie,10,full stack web development,full stack web development,software design,793,15,octave,python
507,Katie,19,data structures,natural language processing,android app development,813,10,javascript,arduino
508,Lydia,13,software design,internet of things,algorithms,330,20,flutter,javascript
509,Kate,18,data science,computer vision,frontend development,458,8,flutter,c
510,Mollie,15,data science,big data,big data,780,5,c,c
511,Lulu,13,ios development,computer vision,hardware design,938,30,octave,R
512,Nannie,3,blockchain,big data,machine learning,50,7,go,swift
513,Lottie,20,big data,data structures,internet of things,149,28,R,R
514,Belle,3,internet of things,computer vision,frontend development,505,3,flutter,javascript
515,Charlotte,20,frontend development,blockchain,frontend development,203,16,flutter,MERN
516,Amelia,5,machine learning,internet of things,frontend development,857,28,javascript,octave
517,Hannah,13,game development,data structures,data science,26,36,python,c++
518,Jane,16,frontend development,blockchain,full stack web development,304,42,c++,MEAN
519,Emily,5,algorithms,data science,data science,604,20,MERN,javascript
520,Matilda,16,natural language processing,computer vision,data structures,306,13,arduino,MEAN
521,Henrietta,16,data structures,hardware design,software design,904,11,arduino,javascript
522,Sara,16,software design,hardware design,game development,497,9,matlab,MEAN
523,Estella,1,computer vision,blockchain,data science,450,2,MERN,MERN
524,Theresa,19,backend development,full stack web development,internet of things,482,32,arduino,octave
525,Josie,2,game development,natural language processing,natural language processing,910,10,verilog,swift
526,Sophia,5,deep learning,data science,game development,959,19,R,MERN
527,Anne,8,data science,android app development,big data,619,6,javascript,R
528,Delia,8,ios development,blockchain,internet of things,247,33,arduino,go
529,Louisa,2,machine learning,software design,natural language processing,660,47,javascript,arduino
530,Mayme,4,backend development,ios development,software design,94,35,R,R
531,Estelle,8,competitive programming,big data,full stack web development,420,47,flutter,matlab
532,Nina,20,android app development,backend development,software design,597,1,MERN,flutter
533,Bettie,15,game development,full stack web development,algorithms,427,13,flutter,R
534,Luella,6,deep learning,game development,game development,462,32,java,swift
535,Inez,12,internet of things,competitive programming,blockchain,404,1,c,arduino
536,Lela,13,software design,game development,game development,337,22,arduino,MEAN
537,Rosie,16,software design,data structures,machine learning,363,43,javascript,arduino
538,Millie,11,internet of things,algorithms,hardware design,472,8,MEAN,MEAN
539,Janie,2,machine learning,competitive programming,machine learning,801,16,go,flutter
540,Cornelia,17,internet of things,algorithms,internet of things,567,39,c,javascript
541,Victoria,3,deep learning,blockchain,blockchain,596,13,python,octave
542,Celia,6,algorithms,natural language processing,deep learning,155,35,flutter,verilog
543,Christine,20,data science,game development,ios development,780,9,go,MERN
544,Birdie,4,internet of things,natural language processing,ios development,666,10,verilog,go
545,Harriett,6,game development,computer vision,algorithms,985,19,octave,verilog
546,Mable,3,computer vision,deep learning,big data,595,44,javascript,c++
547,Myra,13,frontend development,natural language processing,big data,149,14,MERN,arduino
548,Sophie,5,machine learning,computer vision,big data,688,13,c++,c
549,Tillie,16,algorithms,backend development,big data,197,12,octave,flutter
550,Isabel,1,blockchain,big data,backend development,204,18,c++,arduino
551,Sylvia,5,internet of things,full stack web development,computer vision,463,29,javascript,MERN
552,Isabelle,13,frontend development,full stack web development,game development,962,28,verilog,swift
553,Leila,7,data structures,game development,data structures,711,31,MERN,MEAN
554,Sally,9,ios development,game development,android app development,306,1,MEAN,javascript
555,Ina,11,software design,hardware design,data science,819,1,octave,R
556,Nell,2,android app development,android app development,software design,289,24,matlab,javascript
557,Alberta,8,algorithms,machine learning,full stack web development,131,46,swift,verilog
558,Katharine,8,computer vision,hardware design,ios development,508,28,flutter,MERN
559,Rena,14,competitive programming,data structures,algorithms,952,24,verilog,python
560,Mina,7,software design,big data,deep learning,475,37,matlab,c++
561,Mathilda,13,blockchain,blockchain,computer vision,862,19,python,c++
562,Dollie,1,computer vision,software design,hardware design,371,20,c++,flutter
563,Hettie,13,deep learning,game development,machine learning,446,8,javascript,flutter
564,Fanny,9,ios development,internet of things,full stack web development,580,14,octave,flutter
565,Lenora,20,software design,natural language processing,algorithms,768,33,MEAN,c
566,Adelaide,18,algorithms,software design,full stack web development,1000,50,c++,R
567,Lelia,7,android app development,ios development,natural language processing,893,46,matlab,R
568,Nelle,15,hardware design,hardware design,full stack web development,859,42,javascript,go
569,Sue,4,computer vision,ios development,competitive programming,420,22,python,flutter
570,Johanna,17,software design,hardware design,competitive programming,501,14,MEAN,octave
571,Lilly,2,android app development,data science,natural language processing,430,8,flutter,javascript
572,Lucinda,9,full stack web development,data science,android app development,316,50,MERN,c
573,Minerva,10,software design,natural language processing,frontend development,147,35,python,python
574,Lettie,16,internet of things,full stack web development,machine learning,671,40,flutter,javascript
575,Roxie,8,natural language processing,algorithms,competitive programming,159,22,R,MEAN
576,Helena,17,hardware design,computer vision,deep learning,422,11,c++,java
577,Hilda,17,ios development,software design,data science,552,45,MEAN,flutter
578,Hulda,10,computer vision,data structures,computer vision,520,30,javascript,flutter
579,Genevieve,12,frontend development,blockchain,internet of things,370,13,flutter,R
580,Cordelia,15,frontend development,competitive programming,backend development,31,28,flutter,flutter
581,Jeanette,9,natural language processing,data science,full stack web development,118,11,R,MEAN
582,Adeline,1,machine learning,natural language processing,game development,571,41,swift,matlab
583,Leah,5,full stack web development,software design,algorithms,157,24,c++,c++
584,Lura,6,computer vision,data science,algorithms,188,33,python,MEAN
585,Mittie,6,full stack web development,hardware design,android app development,910,33,swift,c
586,Isabella,20,data science,backend development,data structures,952,42,go,verilog
587,Olga,11,competitive programming,data science,big data,942,46,java,javascript
588,Phoebe,11,algorithms,full stack web development,data structures,10,12,swift,javascript
589,Teresa,19,data structures,blockchain,data science,251,37,octave,arduino
590,Lida,12,blockchain,full stack web development,competitive programming,642,32,flutter,c
591,Lina,9,machine learning,machine learning,backend development,475,21,swift,R
592,Marguerite,12,frontend development,software design,backend development,362,29,arduino,octave
593,Claudia,9,data structures,android app development,full stack web development,152,3,arduino,c
594,Cecelia,6,deep learning,internet of things,full stack web development,231,7,matlab,javascript
595,Bess,19,game development,backend development,frontend development,830,16,c++,c++
596,Emilie,5,data structures,data structures,game development,637,30,matlab,python
597,Rosetta,5,algorithms,ios development,ios development,571,7,c,R
598,Myrtie,1,competitive programming,data structures,computer vision,192,31,c++,R
599,Cecilia,12,blockchain,natural language processing,machine learning,364,28,matlab,MERN
600,Olivia,12,computer vision,backend development,full stack web development,433,39,java,go
601,Ophelia,9,data science,data structures,competitive programming,10,26,arduino,javascript
602,Elnora,12,game development,backend development,internet of things,235,1,c++,octave
603,Violet,19,game development,full stack web development,full stack web development,977,35,arduino,javascript
604,Adele,19,frontend development,data structures,data structures,479,44,MERN,flutter
605,Lily,6,internet of things,competitive programming,data structures,713,12,MEAN,MEAN
606,Loretta,13,frontend development,data science,natural language processing,332,7,python,matlab
607,Madge,14,backend development,ios development,machine learning,661,33,arduino,go
608,Polly,12,hardware design,deep learning,blockchain,929,49,go,arduino
609,Eugenia,1,computer vision,machine learning,backend development,609,24,go,verilog
610,Lucile,16,hardware design,data structures,software design,136,50,verilog,MEAN
611,Mabelle,15,game development,machine learning,frontend development,833,3,c,MEAN
612,Rosalie,15,competitive programming,game development,data science,490,48,java,c
613,Kittie,17,data structures,android app development,blockchain,959,3,octave,python
614,Meta,20,machine learning,deep learning,software design,190,7,verilog,octave
615,Angie,3,computer vision,competitive programming,internet of things,343,3,c,go
616,Georgiana,6,competitive programming,backend development,data science,84,50,MERN,MERN
617,Lila,10,deep learning,game development,internet of things,493,8,swift,swift
618,Regina,1,game development,blockchain,game development,32,14,flutter,c
619,Selma,16,android app development,big data,big data,511,4,octave,swift
620,Wilhelmina,11,android app development,game development,internet of things,969,1,flutter,java
621,Bridget,11,machine learning,data structures,deep learning,94,15,MEAN,swift
622,Lilla,1,data science,algorithms,algorithms,947,44,MEAN,go
623,Malinda,1,data science,data structures,data science,81,20,go,octave
624,Vina,7,deep learning,hardware design,machine learning,947,13,python,flutter
625,Freda,12,big data,game development,data science,654,39,R,MEAN
626,Gertie,10,internet of things,ios development,data science,217,42,go,R
627,Jeannette,4,algorithms,game development,software design,107,24,javascript,javascript
628,Louella,20,data science,internet of things,deep learning,416,15,arduino,verilog
629,Mandy,10,hardware design,backend development,computer vision,717,36,MEAN,python
630,Roberta,3,deep learning,game development,big data,719,6,c++,python
631,Corinne,9,deep learning,machine learning,hardware design,927,7,verilog,MEAN
632,Lyda,2,internet of things,big data,software design,99,33,c,java
633,Naomi,3,ios development,data science,blockchain,378,3,R,go
634,Norma,3,deep learning,computer vision,big data,675,28,MEAN,javascript
635,Margie,14,data science,full stack web development,frontend development,692,9,java,arduino
636,Nona,10,hardware design,android app development,backend development,607,40,python,arduino
637,Zella,12,computer vision,big data,deep learning,228,2,python,matlab
638,Dovie,10,deep learning,hardware design,software design,827,17,swift,verilog
639,Elvira,16,game development,android app development,frontend development,571,28,R,verilog
640,Erma,19,natural language processing,backend development,data structures,180,23,matlab,arduino
641,Irma,16,game development,ios development,computer vision,19,7,matlab,R
642,Leota,17,backend development,competitive programming,frontend development,56,29,R,javascript
643,Blanch,3,data science,machine learning,data science,558,22,matlab,swift
644,Charity,14,android app development,blockchain,software design,972,28,verilog,c
645,Lorena,13,hardware design,competitive programming,algorithms,948,32,flutter,R
646,Lucretia,7,software design,natural language processing,full stack web development,167,4,MERN,c
647,Orpha,9,natural language processing,machine learning,hardware design,143,10,c++,swift
648,Alvina,6,internet of things,data science,data science,306,23,flutter,c
649,Annette,17,big data,ios development,android app development,397,16,MERN,R
650,Catharine,14,data science,full stack web development,data science,133,34,R,java
651,Elma,20,android app development,internet of things,backend development,388,35,MERN,verilog
652,Geneva,11,blockchain,frontend development,internet of things,947,16,octave,javascript
653,Leora,12,deep learning,frontend development,machine learning,335,8,MEAN,matlab
654,Lona,2,game development,deep learning,deep learning,6,11,python,verilog
655,Miriam,3,data science,blockchain,internet of things,179,25,java,matlab
656,Zora,13,internet of things,big data,blockchain,79,13,MEAN,java
657,Octavia,15,data science,blockchain,data science,980,40,matlab,c
658,Sudie,15,big data,full stack web development,big data,185,9,c++,c
659,Zula,4,full stack web development,natural language processing,internet of things,340,9,MEAN,octave
660,Adella,15,backend development,frontend development,backend development,522,24,swift,c
661,Frieda,2,software design,frontend development,blockchain,974,45,c,octave
662,Joanna,13,competitive programming,hardware design,natural language processing,644,18,c++,c++
663,Leonora,16,ios development,ios development,blockchain,355,20,R,c
664,Priscilla,11,big data,backend development,frontend development,877,29,flutter,MERN
665,Tennie,19,data science,natural language processing,ios development,634,32,c++,matlab
666,Angeline,7,deep learning,frontend development,deep learning,602,33,c,c
667,Docia,11,blockchain,computer vision,competitive programming,115,2,MEAN,matlab
668,Ettie,5,data structures,data structures,competitive programming,1,29,swift,octave
669,Flossie,8,software design,computer vision,data science,452,29,javascript,matlab
670,Hanna,9,full stack web development,backend development,data science,418,25,flutter,go
671,Letha,17,data science,backend development,data science,82,40,python,c
672,Minta,9,machine learning,ios development,software design,998,48,python,python
673,Retta,1,data science,data structures,natural language processing,573,27,octave,flutter
674,Rosella,14,computer vision,software design,internet of things,311,15,matlab,MERN
675,Adah,4,frontend development,game development,data structures,963,17,java,java
676,Berta,16,machine learning,software design,data science,757,18,c,verilog
677,Elisabeth,8,data science,frontend development,algorithms,605,15,java,c
678,Elise,10,software design,computer vision,android app development,754,4,go,matlab
679,Leola,5,frontend development,backend development,big data,358,1,python,matlab
680,Margret,7,algorithms,internet of things,blockchain,1000,3,c,java
681,Adaline,14,full stack web development,ios development,data science,212,13,MEAN,go
682,Idella,5,machine learning,hardware design,algorithms,16,14,java,c
683,Juanita,2,blockchain,android app development,software design,786,21,javascript,java
684,Lenna,14,deep learning,hardware design,deep learning,740,34,flutter,c++
685,Lucie,20,full stack web development,deep learning,big data,942,3,verilog,MEAN
686,Missouri,19,game development,internet of things,machine learning,429,36,swift,swift
687,Nola,1,natural language processing,internet of things,natural language processing,236,44,java,flutter
688,Zoe,17,competitive programming,deep learning,frontend development,658,12,flutter,go
689,Eda,2,competitive programming,android app development,frontend development,625,29,c++,matlab
690,Isabell,17,full stack web development,ios development,backend development,361,44,matlab,matlab
691,Julie,14,deep learning,ios development,data science,888,26,c++,java
692,Letitia,7,backend development,natural language processing,data science,491,50,octave,octave
693,Madeline,6,android app development,data science,algorithms,405,32,c++,c
694,Malissa,19,data science,data structures,hardware design,795,33,c++,matlab
695,Mariah,18,natural language processing,game development,natural language processing,818,38,javascript,javascript
696,Pattie,2,machine learning,full stack web development,ios development,508,6,c++,arduino
697,Almeda,3,game development,big data,data science,287,2,verilog,verilog
698,Aurelia,3,frontend development,natural language processing,big data,261,30,java,c++
699,Dolly,7,ios development,backend development,data structures,526,28,R,flutter
700,Jannie,18,algorithms,algorithms,competitive programming,650,23,swift,python
701,Kathrine,6,competitive programming,blockchain,data science,491,8,flutter,flutter
702,Lavinia,1,competitive programming,data structures,data structures,445,12,java,javascript
703,Marietta,13,hardware design,big data,game development,801,17,javascript,java
704,Melvina,2,full stack web development,blockchain,natural language processing,216,13,MERN,arduino
705,Ona,15,data science,data science,competitive programming,473,40,swift,MEAN
706,Pinkie,1,software design,ios development,data science,474,6,javascript,verilog
707,Susanna,9,deep learning,data structures,computer vision,920,19,verilog,verilog
708,Chloe,14,algorithms,full stack web development,game development,499,26,R,go
709,Elsa,2,deep learning,natural language processing,game development,539,13,javascript,arduino
710,Matie,15,game development,android app development,game development,704,10,c,matlab
711,Pearle,10,data structures,game development,natural language processing,214,50,python,arduino
712,Vesta,7,machine learning,frontend development,data structures,119,32,java,c
713,Vinnie,16,big data,ios development,data science,353,48,verilog,MERN
714,Antoinette,2,competitive programming,ios development,android app development,249,16,java,go
715,Clementine,19,computer vision,deep learning,ios development,274,31,c++,flutter
716,Edythe,11,big data,blockchain,game development,995,46,flutter,c
717,Harriette,7,game development,machine learning,deep learning,870,11,java,verilog
718,Libbie,5,machine learning,ios development,software design,228,4,c,python
719,Lilian,17,machine learning,data science,data science,130,48,c++,go
720,Lutie,15,algorithms,natural language processing,data science,907,30,arduino,octave
721,Magdalena,2,hardware design,software design,internet of things,565,34,R,MEAN
722,Meda,6,machine learning,deep learning,blockchain,321,35,MERN,matlab
723,Rita,16,frontend development,machine learning,hardware design,983,31,MEAN,octave
724,Tena,5,backend development,hardware design,game development,731,21,go,javascript
725,Zelma,8,natural language processing,data science,android app development,284,1,matlab,flutter
726,Adelia,3,algorithms,data structures,data science,532,9,octave,javascript
727,Annetta,2,ios development,algorithms,android app development,325,1,R,octave
728,Dona,9,deep learning,game development,frontend development,60,47,flutter,c++
729,Elizebeth,18,deep learning,data science,natural language processing,429,39,matlab,verilog
730,Georgianna,5,natural language processing,hardware design,backend development,566,5,javascript,arduino
731,Gracie,16,computer vision,deep learning,full stack web development,964,49,c,flutter
732,Iona,1,android app development,data science,game development,840,22,c++,MEAN
733,Leta,1,deep learning,backend development,natural language processing,938,41,octave,matlab
734,Liza,5,internet of things,software design,computer vision,212,19,matlab,verilog
735,Mertie,14,algorithms,computer vision,natural language processing,21,24,java,go
736,Molly,18,full stack web development,full stack web development,software design,919,37,R,python
737,Neva,14,backend development,frontend development,competitive programming,773,2,go,verilog
738,Oma,12,machine learning,natural language processing,full stack web development,841,6,java,go
739,Alida,2,machine learning,hardware design,big data,331,24,octave,python
740,Cecile,20,data science,android app development,frontend development,849,5,swift,matlab
741,Ernestine,1,hardware design,hardware design,natural language processing,289,17,R,c++
742,Evie,20,algorithms,backend development,full stack web development,458,6,MEAN,matlab
743,Helene,15,computer vision,algorithms,full stack web development,348,7,MERN,java
744,Minna,13,android app development,big data,data science,47,34,MERN,MEAN
745,Myrta,14,internet of things,natural language processing,frontend development,346,21,java,go
746,Prudence,16,software design,android app development,deep learning,480,8,python,c++
747,Queen,10,software design,data structures,machine learning,976,44,matlab,R
748,Rilla,7,big data,data structures,software design,191,9,verilog,go
749,Savannah,6,machine learning,natural language processing,software design,829,31,javascript,arduino
750,Tessie,20,hardware design,software design,algorithms,894,25,matlab,java
751,Agatha,20,full stack web development,game development,natural language processing,197,18,MERN,swift
752,America,7,data structures,hardware design,machine learning,502,9,python,javascript
753,Anita,15,ios development,android app development,algorithms,790,18,verilog,R
754,Arminta,9,backend development,blockchain,data science,79,50,MERN,c
755,Dorothea,10,competitive programming,natural language processing,data science,670,42,MEAN,MERN
756,Luvenia,14,algorithms,competitive programming,natural language processing,760,44,flutter,MEAN
757,Marjorie,3,computer vision,algorithms,data science,449,37,octave,verilog
758,Maybelle,16,data science,hardware design,internet of things,232,25,swift,octave
759,Mellie,20,full stack web development,android app development,frontend development,331,14,R,arduino
760,Nan,15,data structures,data structures,game development,824,11,javascript,c++
761,Velma,8,internet of things,backend development,software design,818,42,flutter,octave
762,Constance,14,natural language processing,data structures,competitive programming,682,44,verilog,go
763,Ila,11,blockchain,competitive programming,data structures,404,47,c++,matlab
764,Iola,18,competitive programming,competitive programming,android app development,98,47,c,matlab
765,Louvenia,17,deep learning,software design,software design,987,40,c++,matlab
766,Lucia,3,data structures,hardware design,data science,638,34,c++,swift
767,Ludie,3,algorithms,hardware design,android app development,252,15,arduino,go
768,Luna,14,internet of things,data structures,data science,308,34,go,verilog
769,Metta,17,game development,data structures,natural language processing,250,46,octave,javascript
770,Phebe,1,machine learning,full stack web development,data science,352,2,MEAN,java
771,Sophronia,12,android app development,algorithms,ios development,134,47,MERN,octave
772,Adda,9,internet of things,full stack web development,data science,910,6,MEAN,R
773,Avis,15,algorithms,big data,data science,500,42,arduino,c++
774,Betsy,4,data science,algorithms,backend development,234,37,go,R
775,Cordie,9,data structures,frontend development,hardware design,506,21,flutter,R
776,Emmaline,7,algorithms,natural language processing,big data,858,11,python,javascript
777,Ethelyn,20,algorithms,android app development,data science,956,13,go,swift
778,Hortense,16,full stack web development,blockchain,frontend development,826,12,c,arduino
779,Marcella,11,natural language processing,algorithms,frontend development,530,6,matlab,MEAN
780,Melinda,2,frontend development,blockchain,game development,501,18,c++,R
781,Mona,19,computer vision,internet of things,game development,427,45,javascript,python
782,Odessa,9,android app development,full stack web development,data science,415,12,arduino,R
783,Veronica,1,big data,full stack web development,internet of things,63,46,python,javascript
784,Aimee,9,data science,natural language processing,frontend development,870,32,swift,MERN
785,Annabel,18,software design,full stack web development,machine learning,351,9,octave,swift
786,Ava,19,android app development,competitive programming,data science,913,41,java,c
787,Bella,4,data structures,blockchain,natural language processing,369,7,python,matlab
788,Carolina,1,ios development,ios development,blockchain,576,44,c,python
789,Cathrine,1,data science,data science,frontend development,946,16,R,go
790,Christena,1,hardware design,internet of things,computer vision,797,40,c++,c++
791,Dena,16,data structures,blockchain,natural language processing,54,4,R,matlab
792,Eleanore,14,internet of things,frontend development,competitive programming,19,36,java,c++
793,Elmira,7,deep learning,backend development,computer vision,601,16,arduino,MEAN
794,Jenny,1,machine learning,hardware design,computer vision,777,31,MEAN,swift
795,Kizzie,11,data science,natural language processing,internet of things,885,46,python,R
796,Loula,3,computer vision,internet of things,competitive programming,150,34,python,flutter
797,Magdalene,18,blockchain,deep learning,competitive programming,858,31,arduino,R
798,Mettie,17,data science,ios development,android app development,373,45,MEAN,c++
799,Mintie,11,ios development,frontend development,big data,712,37,matlab,MEAN
800,Peggy,15,software design,deep learning,data structures,696,6,java,MERN
801,Reba,14,competitive programming,backend development,data science,591,31,java,python
802,Serena,5,data science,ios development,machine learning,325,22,matlab,java
803,Vida,10,deep learning,big data,android app development,813,4,javascript,MEAN
804,Zada,20,algorithms,algorithms,game development,1,3,verilog,javascript
805,Abigail,11,competitive programming,algorithms,algorithms,860,13,verilog,R
806,Celestine,3,data science,computer vision,algorithms,51,6,flutter,go
807,Celina,10,blockchain,algorithms,computer vision,685,26,MERN,MERN
808,Daisie,18,full stack web development,deep learning,blockchain,799,24,MERN,MERN
809,Dessa,13,algorithms,game development,computer vision,409,18,java,arduino
810,Easter,17,natural language processing,data structures,game development,908,1,flutter,matlab
811,Emelia,12,computer vision,software design,software design,677,26,java,MEAN
812,Emmie,10,machine learning,blockchain,algorithms,629,32,python,c++
813,Imogene,6,machine learning,deep learning,ios development,28,30,flutter,javascript
814,India,2,hardware design,frontend development,full stack web development,414,16,go,matlab
815,Jeanne,17,data science,software design,full stack web development,556,21,go,MERN
816,Lenore,5,game development,data science,game development,675,29,c,octave
817,Liddie,12,data science,frontend development,blockchain,305,46,verilog,matlab
818,Lotta,14,frontend development,full stack web development,natural language processing,365,26,python,matlab
819,Mame,14,frontend development,backend development,competitive programming,921,33,octave,javascript
820,Nevada,16,data science,data structures,hardware design,197,47,verilog,c
821,Rachael,14,game development,computer vision,computer vision,472,47,c++,javascript
822,Sina,17,data science,data science,game development,34,24,go,c++
823,Willa,3,competitive programming,data science,backend development,952,30,MEAN,swift
824,Aline,3,backend development,competitive programming,algorithms,309,7,c++,c++
825,Daisey,20,full stack web development,data science,data structures,273,46,verilog,MERN
826,Dorcas,13,competitive programming,computer vision,data structures,239,15,MERN,arduino
827,Edmonia,10,computer vision,frontend development,algorithms,762,28,c,matlab
828,Effa,18,blockchain,deep learning,ios development,436,14,matlab,javascript
829,Eldora,7,ios development,game development,hardware design,398,29,go,arduino
830,Eloise,3,blockchain,blockchain,data science,628,8,arduino,MERN
831,Emmer,7,algorithms,natural language processing,blockchain,410,14,python,octave
832,Era,14,ios development,game development,frontend development,173,40,javascript,c
833,Gena,4,hardware design,full stack web development,data science,804,30,octave,swift
834,Iris,8,competitive programming,big data,game development,19,34,go,R
835,Izora,15,software design,internet of things,deep learning,362,22,MERN,verilog
836,Lissie,4,data science,backend development,full stack web development,364,13,octave,javascript
837,Mallie,10,blockchain,data science,game development,109,18,python,verilog
838,Malvina,9,android app development,game development,ios development,861,18,arduino,R
839,Mathilde,10,natural language processing,hardware design,algorithms,399,28,matlab,swift
840,Mazie,19,computer vision,data structures,game development,737,18,arduino,arduino
841,Queenie,15,computer vision,big data,internet of things,760,22,MERN,MERN
842,Rosina,6,full stack web development,blockchain,data science,848,43,octave,MERN
843,Salome,4,competitive programming,blockchain,data structures,922,24,java,javascript
844,Theodora,19,natural language processing,data structures,algorithms,74,26,c++,c
845,Therese,8,blockchain,deep learning,natural language processing,885,46,MERN,R
846,Vena,10,game development,computer vision,big data,333,39,R,MEAN
847,Wanda,1,algorithms,computer vision,competitive programming,368,7,arduino,java
848,Wilda,17,frontend development,blockchain,android app development,499,26,arduino,MEAN
849,Altha,18,hardware design,software design,competitive programming,710,8,R,go
850,Anastasia,5,backend development,android app development,game development,256,42,c++,go
851,Besse,11,android app development,machine learning,data science,951,13,javascript,arduino
852,Birtie,1,android app development,blockchain,frontend development,180,43,R,c++
853,Clarissa,8,data structures,competitive programming,data science,535,43,javascript,javascript
854,Delilah,19,frontend development,hardware design,data structures,795,17,go,python
855,Diana,18,big data,deep learning,computer vision,967,7,arduino,MERN
856,Emelie,15,ios development,hardware design,software design,134,20,verilog,MERN
